Tx gene_symbol
Tx3 ZBTB6
Tx3 TCTE3
Tx3 DUSP19
Tx3 HSPA4
Tx3 MRPS6
Tx3 LRRC55
Tx3 CYP26B1
Tx3 PBXIP1
Tx3 IFIT2
Tx3 RET
Tx3 HES6
Tx3 PSPN
Tx3 VPS37D
Tx3 NAT14
Tx3 TMUB1
Tx3 MBD3
Tx3 EHD1
Tx3 SH3BP5L
Tx3 TPPP
Tx3 NT5DC2
Tx3 HRH3
Tx3 MMP15
Tx3 CITED4
Tx3 CAMK2N2
Tx3 CTXN1
Tx3 ARHGDIG
Tx3 UBE2M
Tx3 CD81
Tx3 ENDOG
Tx3 CALY
Tx3 DIRAS2
Tx3 SCN2B
Tx3 KBTBD6
Tx3 IFIT1
Tx3 MRPL49
Tx3 MZT1
Tx3 MRFAP1L1
Tx3 GSPT2
Tx3 RNF6
Tx3 CSTF2T
Tx3 AGPAT1
Tx3 CAPNS1
Tx3 HYOU1
Tx3 FAIM2
Tx3 TOLLIP
Tx3 WBP2
Tx3 ENO2
Tx3 SPRYD3
Tx3 CALM3
Tx3 DIRAS1
Tx3 RGS4
Tx3 NRGN
Tx3 RNF187
Tx3 TPRG1L
Tx3 LRRC24
Tx3 DHCR24
Tx3 INTS5
Tx3 ZBTB22
Tx3 GRINA
Tx3 ATP6AP1
Tx3 PUF60
Tx3 PGAM1
Tx3 MTCH1
Tx3 F8A1
Tx3 PPP1R1A
Tx3 THAP10
Tx3 NUDT10
Tx3 RIPPLY2
Tx3 DCK
Tx3 C1orf174
Tx3 GAL3ST3
Tx3 MGAT2
Tx3 SLC35B2
Tx3 RUVBL2
Tx3 WDR45
Tx3 BCL7B
Tx3 TMEM59L
Tx3 SLC22A17
Tx3 IRF3
Tx3 NDUFS7
Tx3 PRMT1
Tx3 DHPS
Tx3 ASF1A
Tx3 THAP1
Tx3 ZNF22
Tx3 HEBP1
Tx3 ZNF32
Tx3 FAM200B
Tx3 MPP1
Tx3 CENPV
Tx3 TMEM19
Tx3 COX20
Tx3 SRSF3
Tx3 PHF5A
Tx3 LSM6
Tx3 RWDD1
Tx3 KARS
Tx3 TSPAN13
Tx3 RAD23A
Tx3 HENMT1
Tx3 GEMIN6
Tx3 FUZ
Tx3 BHLHE41
Tx3 EXOC8
Tx3 MAP1A
Tx3 NSA2
Tx3 CBX3
Tx3 CNBP
Tx3 ZBTB14
Tx3 LGALSL
Tx3 LAMTOR3
Tx3 AASDHPPT
Tx3 TMEM30A
Tx3 CDV3
Tx3 AMER2
Tx3 GRPEL2
Tx3 SAYSD1
Tx3 WBP11
Tx3 PURB
Tx3 CBX4
Tx3 MED29
Tx3 CHMP4B
Tx3 PLEKHB2
Tx3 USP51
Tx3 ARRDC3
Tx3 ZNF513
Tx3 SLC17A7
Tx3 EPHB6
Tx3 G6PD
Tx3 SYT5
Tx3 CA11
Tx3 KCNJ12
Tx3 LRFN3
Tx3 CHRNB2
Tx3 SMIM10L2B
Tx3 NUMBL
Tx3 MAST3
Tx3 CAMTA2
Tx3 AMPD2
Tx3 UBXN6
Tx3 RUNDC3A
Tx3 LGI3
Tx3 CHST1
Tx3 VSTM2L
Tx3 DOC2A
Tx3 ADGRB2
Tx3 GTPBP1
Tx3 KLHL26
Tx3 MXRA7
Tx3 SH3GLB2
Tx3 ENTPD6
Tx3 NELFB
Tx3 DMTN
Tx3 THRA
Tx9 EDIL3
Tx9 KCTD8
Tx9 HDX
Tx9 SH3YL1
Tx9 GLCCI1
Tx9 GUCY1A2
Tx9 LRFN5
Tx9 FAM19A2
Tx9 KHDRBS2
Tx9 LINGO2
Tx9 TET2
Tx9 RNLS
Tx9 IRS1
Tx9 PHF3
Tx9 SHOC2
Tx9 FNIP2
Tx9 ZBTB44
Tx9 ARHGAP5
Tx9 SMC1A
Tx9 SIRT1
Tx9 SATL1
Tx9 MTMR8
Tx9 FAAH2
Tx9 ZNF155
Tx9 PRRC2C
Tx9 GOLGB1
Tx9 KIAA1551
Tx9 CEP44
Tx9 ZNF195
Tx9 PRPF38B
Tx9 NHLRC2
Tx9 SLC36A4
Tx9 KMT2A
Tx9 SNAP91
Tx9 STXBP5
Tx9 PCF11
Tx9 SREK1
Tx9 ATG12
Tx9 ANKRD12
Tx9 SPEF2
Tx9 NETO1
Tx9 ERICH3
Tx9 MFSD1
Tx9 SP4
Tx9 AIDA
Tx9 POLI
Tx9 FAR2
Tx9 PTPN21
Tx9 TUBGCP3
Tx9 RPAP2
Tx9 PCNX1
Tx9 ANKRD36C
Tx9 NEXMIF
Tx9 SCLT1
Tx9 MARK1
Tx9 MAP3K21
Tx9 GDAP2
Tx9 SENP7
Tx9 CD2AP
Tx9 RSRC1
Tx9 MAATS1
Tx9 HUS1
Tx9 SCN1A
Tx9 FAM151B
Tx9 CNNM1
Tx9 KLHL24
Tx9 KCNC2
Tx9 GDAP1
Tx9 SACS
Tx9 ARHGAP35
Tx9 DCAF12
Tx9 MARK2
Tx9 CFDP1
Tx9 CASP8AP2
Tx9 ZC3H12B
Tx9 MACROD2
Tx9 RNF130
Tx9 RABGAP1L
Tx9 LHFPL5
Tx9 ATF1
Tx9 TPST1
Tx9 ZFYVE28
Tx9 FSD1L
Tx9 TRMT11
Tx9 ICE1
Tx9 BCLAF1
Tx9 PSMD14
Tx9 RGS17
Tx9 TRIQK
Tx9 ATRX
Tx9 GABRB2
Tx9 SLC6A15
Tx9 ASPH
Tx9 DNAJC21
Tx9 NOVA1
Tx9 GABRA4
Tx9 NDFIP2
Tx9 NUDCD1
Tx9 GABRA2
Tx9 PER3
Tx9 SMARCA1
Tx9 PDS5B
Tx9 BCL2L2-PABPN1
Tx9 NPIPB5
Tx9 NOP14
Tx9 PCNT
Tx9 TBR1
Tx9 CCDC50
Tx9 ZKSCAN8
Tx9 FBXO8
Tx9 MINPP1
Tx9 GPC5
Tx9 CCDC142
Tx9 EEF2K
Tx9 ACO1
Tx9 DGKG
Tx9 VASH2
Tx9 EPHA7
Tx9 IKZF2
Tx9 SYCP2
Tx9 RPS6KA5
Tx9 N4BP2
Tx9 YIPF7
Tx9 ADAMTSL3
Tx9 LRRC17
Tx9 SSFA2
Tx9 RTKN2
Tx9 KIF13B
Tx9 NNT
Tx9 SLIT2
Tx9 ZC3H12C
Tx9 EML5
Tx9 ANO5
Tx9 SPOCK3
Tx9 KLHL4
Tx9 SH3BGRL
Tx9 CABLES1
Tx9 DNAAF5
Tx9 CYFIP1
Tx9 TNRC18
Tx9 TCP11L2
Tx9 RHBDL3
Tx9 EPB41
Tx9 FBXO17
Tx9 PNPLA7
Tx9 ZNF423
Tx9 PFKP
Tx9 ABCA10
Tx9 ABCA6
Tx9 ABCA9
Tx9 CNTLN
Tx9 JAK2
Tx9 SPAG16
Tx9 INPP4B
Tx9 LRRC66
Tx9 EFCAB5
Tx9 PRH1
Tx9 SLC22A1
Tx9 CTSS
Tx9 SNX5
Tx9 PPP5C
Tx9 CLSTN3
Tx9 GGA3
Tx9 LPCAT1
Tx9 MADD
Tx9 KCTD10
Tx9 GPRASP1
Tx9 ANXA6
Tx9 SLC1A4
Tx9 HDAC11
Tx9 MAP2K1
Tx9 ZNF280B
Tx9 VPS26A
Tx9 FYTTD1
Tx9 CAP2
Tx9 UBE2Z
Tx9 ZBTB11
Tx9 STARD7
Tx9 BRPF1
Tx9 GATC
Tx9 LRRC4
Tx9 DR1
Tx9 XIAP
Tx9 MAPK1
Tx9 SEPT8
Tx9 AKAP11
Tx9 RNF219
Tx9 ERLIN2
Tx9 MBLAC2
Tx9 MTPAP
Tx9 ZNF711
Tx9 TRIM25
Tx9 AK4
Tx9 ANKRD50
Tx9 SLC7A14
Tx9 FAM171B
Tx9 TTC9
Tx9 HSDL1
Tx9 VPS26B
Tx9 ZFP1
Tx9 CHMP7
Tx9 SMNDC1
Tx9 ZNF639
Tx9 GTF3C4
Tx9 IMPAD1
Tx9 UHMK1
Tx9 B3GNT2
Tx9 UNC119B
Tx9 RGMB
Tx9 MED9
Tx9 ABHD8
Tx9 TDP2
Tx9 FBXL3
Tx9 PLA2G12A
Tx9 NR1D2
Tx9 CYB5D1
Tx9 EXTL2
Tx9 HTR2A
Tx9 SGCB
Tx9 PIP4P2
Tx9 CREBL2
Tx9 LPIN2
Tx9 FBXO30
Tx9 ZBTB41
Tx9 GNPDA2
